Sample,Response
1,1152
1,1132
1,1087
1,1090
1,1148
1,1116
2,1199
2,1143
2,1066
2,1158
2,1211
2,1239
3,1197
3,1192
3,1203
3,1125
3,1169
3,1188
4,1195
4,1132
4,1073
4,1171
4,1202
4,1215
5,1183
5,1169
5,1203
5,1198
5,1179
5,1208
6,1170
6,1205
6,1265
6,1198
6,1259
6,1271
7,
7,1249
7,1269
7,1194
7,1320
7,1307
8,1150
8,1098
8,1030
8,1153
8,1089
8,1121
9,1198
9,1171
9,1132
9,1171
9,1178
9,1240
10,1159
10,1177
10,1212
10,1146
10,1186
10,1191
11,1184
11,1134
11,1125
11,1141
11,1207
11,1215
12,1155
12,1152
12,1139
12,1142
12,1063
12,1145
13,1170
13,1228
13,1259
13,1177
13,1244
13,1302
14,1190
14,1237
14,1253
14,1283
14,1327
14,1391
